iter	Passed	Remaining
0	0	83
1	1	73
2	2	68
3	2	62
4	3	60
5	3	58
6	4	59
7	5	57
8	5	56
9	6	56
10	6	54
11	7	53
12	7	52
13	8	51
14	8	50
15	9	49
16	9	48
17	10	48
18	11	47
19	11	46
20	12	45
21	12	44
22	13	44
23	13	43
24	14	42
25	14	42
26	15	41
27	15	40
28	16	40
29	16	39
30	17	38
31	17	38
32	18	37
33	19	37
34	19	36
35	20	35
36	20	35
37	21	34
38	21	34
39	22	33
40	22	33
41	23	32
42	23	31
43	24	30
44	24	30
45	25	29
46	25	29
47	26	28
48	27	28
49	27	27
50	28	27
51	28	26
52	29	26
53	30	25
54	30	24
55	30	24
56	31	23
57	31	23
58	32	22
59	33	22
60	33	21
61	34	21
62	35	20
63	35	20
64	36	19
65	36	19
66	37	18
67	38	17
68	38	17
69	39	16
70	39	16
71	40	15
72	40	15
73	41	14
74	41	13
75	42	13
76	42	12
77	43	12
78	43	11
79	44	11
80	44	10
81	45	9
82	46	9
83	46	8
84	47	8
85	47	7
86	48	7
87	48	6
88	49	6
89	50	5
90	51	5
91	51	4
92	52	3
93	52	3
94	53	2
95	54	2
96	54	1
97	55	1
98	55	0
99	56	0
